"gosterge","p","pencere","RMSE","MAE","secildi"
"USDTRY",11,48,0.494037990164892,0.323444196002279,FALSE
"USDTRY",11,54,0.490200982771259,0.336732448702166,FALSE
"USDTRY",11,60,0.467044047026643,0.327404812936657,FALSE
"USDTRY",5,36,0.397828240759313,0.284195669641147,FALSE
"USDTRY",5,42,0.396868267582598,0.280858578473492,FALSE
"USDTRY",5,48,0.393537674706681,0.267960669566621,FALSE
"USDTRY",5,54,0.398988978742849,0.280850820454011,FALSE
"USDTRY",5,60,0.393141480287462,0.282535401533011,FALSE
"USDTRY",3,36,0.304452652837813,0.241962397370074,TRUE
"USDTRY",3,42,0.307431803249143,0.237205416401701,FALSE
"USDTRY",3,48,0.306097361740084,0.224094478712627,FALSE
"USDTRY",3,54,0.316394356495261,0.235664225535634,FALSE
"USDTRY",3,60,0.324359382415595,0.241997389510338,FALSE
"BIST100",3,36,862.639480098815,668.018197451694,FALSE
"BIST100",3,42,859.134133991777,668.99755178405,FALSE
"BIST100",3,48,855.803474474252,673.30972531959,TRUE
"BIST100",3,54,859.051493610858,677.635079560067,FALSE
"BIST100",3,60,864.272184555816,682.308222160191,FALSE
"BIST100",11,36,1099.90746935542,836.189326182933,FALSE
"BIST100",11,42,1080.66185693345,815.593502405601,FALSE
"BIST100",11,48,1046.03331003613,801.345221433857,FALSE
"BIST100",11,54,1048.79695099597,802.453875967034,FALSE
"BIST100",11,60,1043.23297458532,797.661559365348,FALSE
"FAIZ",4,36,2.13878994216634,1.51461624688388,FALSE
"FAIZ",4,42,2.03311014681545,1.37739436329217,FALSE
"FAIZ",4,48,2.01726178153878,1.36265015671031,FALSE
"FAIZ",4,54,1.96510301760869,1.31975621547892,TRUE
"FAIZ",4,60,2.03131227591214,1.36124406379601,FALSE
"DIS_TICARET",12,36,2549.1403225363,2080.31832985711,FALSE
"DIS_TICARET",12,42,2509.89480437114,2090.73321503888,FALSE
"DIS_TICARET",12,48,2490.39895737675,2069.19571861955,FALSE
"DIS_TICARET",12,54,2437.38432475156,2062.72570101603,FALSE
"DIS_TICARET",12,60,2254.16001475657,1920.65890147979,FALSE
"DIS_TICARET",3,36,1771.93824825372,1401.77926347591,FALSE
"DIS_TICARET",3,42,1710.17391824282,1345.71017380425,FALSE
"DIS_TICARET",3,48,1709.89478250099,1322.6447313011,TRUE
"DIS_TICARET",3,54,1725.9777513794,1358.2254238405,FALSE
"DIS_TICARET",3,60,1734.49561818661,1364.35709121225,FALSE
"SANAYI_URETIM",12,36,8.11962830627887,6.32854807021974,FALSE
"SANAYI_URETIM",12,42,7.81357575457457,6.11428052102797,FALSE
"SANAYI_URETIM",12,48,7.73793704505579,6.25800351580187,FALSE
"SANAYI_URETIM",12,54,7.48910117741065,5.96044721889155,FALSE
"SANAYI_URETIM",12,60,7.38730788052741,5.97300603654047,TRUE
"TUKETICI_GUVEN",12,36,2.82582460445347,2.30204769119715,FALSE
"TUKETICI_GUVEN",12,42,2.84954927787526,2.35343017581429,FALSE
"TUKETICI_GUVEN",12,48,2.69698615935028,2.19577361359675,FALSE
"TUKETICI_GUVEN",12,54,2.55171753766941,2.12000689590852,FALSE
"TUKETICI_GUVEN",12,60,2.2648141695297,1.90180461116454,FALSE
"TUKETICI_GUVEN",1,36,1.86558002184355,1.55131471260499,FALSE
"TUKETICI_GUVEN",1,42,1.86924560000981,1.54209257064263,FALSE
"TUKETICI_GUVEN",1,48,1.83375498479998,1.48347337055792,FALSE
"TUKETICI_GUVEN",1,54,1.77062164585437,1.46824424203642,FALSE
"TUKETICI_GUVEN",1,60,1.76303923329446,1.45329888437541,TRUE
"CARI_DENGE",8,12,9644783773.62286,7407710959.894,FALSE
"CARI_DENGE",8,16,5543742000.18306,3990954610.17598,FALSE
"CARI_DENGE",8,20,5473523795.68421,4589984208.40085,FALSE
"CARI_DENGE",8,24,5428248345.4777,4779586819.86636,FALSE
"CARI_DENGE",8,28,5540028436.89521,4790603903.90545,FALSE
"CARI_DENGE",7,12,6755068707.35235,5465275229.4768,FALSE
"CARI_DENGE",7,16,4570434145.57521,3030806747.28679,TRUE
"CARI_DENGE",7,20,5006180469.17804,4084014636.41003,FALSE
"CARI_DENGE",7,24,5046772981.52806,4257902889.33675,FALSE
"CARI_DENGE",7,28,5121146218.90122,4234472879.60384,FALSE
"CARI_DENGE",5,12,5644633535.85065,4869379599.37137,FALSE
"CARI_DENGE",5,16,5136298301.05082,4060954483.02736,FALSE
"CARI_DENGE",5,20,5330060446.0671,4520621487.3004,FALSE
"CARI_DENGE",5,24,5544603687.92552,4642498509.06184,FALSE
"CARI_DENGE",5,28,5502717387.33035,4771265906.06306,FALSE
