"gosterge","tarih","tahmin","alt","ust"
"REEL_KESIM_GUVEN",2027-02-01,101.711367640955,98.103411644445,105.319323637464
"REEL_KESIM_GUVEN",2027-03-01,101.730695502832,98.0815739378377,105.379817067826
"KAPASITE_KULLANIM",2026-10-01,74.209941715365,72.8554293877364,75.5644540429936
"KAPASITE_KULLANIM",2026-11-01,74.3026113687804,72.5887648417594,76.0164578958014
"KAPASITE_KULLANIM",2026-12-01,74.3756564937116,72.4021987921869,76.3491141952363
"KAPASITE_KULLANIM",2027-01-01,74.4435296184526,72.2803428272707,76.6067164096345
"KAPASITE_KULLANIM",2027-02-01,74.5050114229545,72.1967126794033,76.8133101665057
"KAPASITE_KULLANIM",2027-03-01,74.5609108585625,72.1393342575839,76.9824874595411
"GENC_ISSIZLIK",2026-01-01,17.1890868190972,13.2524546147474,21.125719023447
"GENC_ISSIZLIK",2027-01-01,18.5744184260444,12.7009843665748,24.4478524855139
"GENC_ISSIZLIK",2028-01-01,19.5690080150109,12.9848553951388,26.1531606348831
"GENC_ISSIZLIK",2029-01-01,20.0189204998286,13.3180530487153,26.7197879509419
"GENC_ISSIZLIK",2030-01-01,20.0494505678023,13.3485524403855,26.7503486952191
"GENC_ISSIZLIK",2031-01-01,19.8717118611885,13.1432928219494,26.6001309004276
"PERAKENDE_SATIS",2026-07-01,14.8995276163985,5.82800177637792,23.9710534564191
"PERAKENDE_SATIS",2026-10-01,15.6544233156593,5.04281442895779,26.2660322023609
"PERAKENDE_SATIS",2027-01-01,16.1125924323318,4.98727360987931,27.2379112547843
"PERAKENDE_SATIS",2027-04-01,16.3906691781365,5.08199765164145,27.6993407046316
"PERAKENDE_SATIS",2027-07-01,16.5594423968967,5.18397505252706,27.9349097412664
"PERAKENDE_SATIS",2027-10-01,16.6618759869053,5.26190207478525,28.0618498990254
"KONUT_FIYAT",2026-09-01,240.140539674244,236.422928845537,243.85815050295
"KONUT_FIYAT",2026-10-01,243.360168610669,238.056556195385,248.663781025954
"KONUT_FIYAT",2026-11-01,246.843870456684,240.263578621233,253.424162292135
"KONUT_FIYAT",2026-12-01,250.303383963804,242.626340406479,257.980427521128
"KONUT_FIYAT",2027-01-01,253.438915629133,245.033262092339,261.844569165928
"KONUT_FIYAT",2027-02-01,256.755387819558,247.468428053777,266.04234758534
"TURIZM_GELIRI",2026-04-01,4671316.52724821,4172835.87892643,5169797.17557
"TURIZM_GELIRI",2026-05-01,5980963.8201874,5482320.80523441,6479606.83514039
"TURIZM_GELIRI",2026-06-01,7072402.29324329,6573519.8932604,7571284.69322618
"TURIZM_GELIRI",2026-07-01,8017003.38692994,7518110.50713974,8515896.26672014
"TURIZM_GELIRI",2026-08-01,9312217.3451713,8813316.98387183,9811117.70647076
"TURIZM_GELIRI",2026-09-01,7829062.20619994,7330037.74740532,8328086.66499456
"GINI",2024-01-01,44.5613573280173,43.3355997085441,45.7871149474906
"GINI",2025-01-01,43.9874587481788,42.7616982953924,45.2132192009652
"GINI",2026-01-01,44.6061335426481,43.0959312887088,46.1163357965874
"GINI",2027-01-01,44.1944357020414,42.6842286836225,45.7046427204604
"GINI",2028-01-01,44.6388034804557,43.0005676406871,46.2770393202244
"GINI",2029-01-01,44.3434648253055,42.7052238669491,45.9817057836618
